model_key,finetune_on_bridge,huggingface_path,figure_label,success_rate,group,exclude_always,exclude_onlyvla,exclude_ft
Qwen-GR00T-Bridge,yes,StarVLA/Qwen-GR00T-Bridge,Qwen2.5-GR00T-Bridge,71.4,StarVLA-Qwen2.5,false,false,false
Qwen-GR00T-Bridge-RT-1,yes,StarVLA/Qwen-PI-Bridge-RT-1,Qwen2.5-GR00T-RT-1-Bridge,63.6,StarVLA-Qwen2.5,false,false,false
Qwen-OFT-Bridge-RT-1,yes,StarVLA/Qwen-OFT-Bridge-RT-1,Qwen2.5-OFT-RT-1-Bridge,44.2,StarVLA-Qwen2.5,false,false,false
Qwen3VL-GR00T-Bridge-RT-1,yes,StarVLA/Qwen3VL-GR00T-Bridge-RT-1,Qwen3-GR00T-RT-1-Bridge,65.3,StarVLA-Qwen3,false,false,false
Qwen3VL-OFT-Bridge-RT-1,yes,StarVLA/Qwen3VL-OFT-Bridge-RT-1,Qwen3-OFT-RT-1-Bridge,42.7,StarVLA-Qwen3,false,false,false
cogact-small-bridge,yes,CogACT/CogACT-Small,CogACT-Small,51.0,CogACT,false,false,false
cogact-base-bridge,yes,CogACT/CogACT-Base,CogACT-Base,51.3,CogACT,false,false,false
cogact-large-bridge,yes,CogACT/CogACT-Large,CogACT-Large,58.3,CogACT,false,false,false
groot-n15-bridge,yes,nvidia/GR00T-N1.5-3B,GR00T-N1.5-Bridge,36.5,GR00T,false,false,false
groot-n16-bridge,yes,nvidia/GR00T-N1.6-3B,GR00T-N1.6-Bridge,57.1,GR00T,false,false,false
openvla-7b-bridge,yes,openvla/openvla-7b,OpenVLA-7B,1.0,OpenVLA,true,false,false
openvla-7b-bridge-ft-200k,yes,YixangSun/openvla-bridge-sft,OpenVLA-7B-FT-Bridge,10.4,OpenVLA,false,false,true
pi0-lerobot-bridge,yes,HaomingSong/lerobot-pi0-bridge,Pi0-Bridge,47.9,Pi0,false,false,false
spatialvla-sft-bridge,yes,IPEC-COMMUNITY/spatialvla-4b-224-sft-bridge,SpatialVLA-Bridge,42.7,SpatialVLA,false,false,false
rt1x-bridge,yes,,RT-1-X,0.0,RT-1-X,false,true,false
octo-base-bridge,yes,rail-berkeley/octo-base,Octo-Base,20.3,Octo,false,true,false
qwen25vl-3b-raw,no,,Qwen2.5-VL-3B,0.0,RawVLM,false,true,false
qwen3vl-4b-raw,no,,Qwen3-VL-4B,0.0,RawVLM,false,true,false
cogact-small-bridge,no,CogACT/CogACT-Small,CogACT-Small,51.0,CogACT,false,false,false
cogact-base-bridge,no,CogACT/CogACT-Base,CogACT-Base,51.3,CogACT,false,false,false
cogact-large-bridge,no,CogACT/CogACT-Large,CogACT-Large,58.3,CogACT,false,false,false
groot-n15-base,no,nvidia/GR00T-N1.5-3B,GR00T-N1.5,36.5,GR00T,false,false,false
groot-n16-base,no,nvidia/GR00T-N1.6-3B,GR00T-N1.6,57.1,GR00T,false,false,false
openvla-7b-bridge,no,openvla/openvla-7b,OpenVLA-7B,1.0,OpenVLA,false,false,false
pi0-base,no,HaomingSong/lerobot-pi0-bridge,Pi0,47.9,Pi0,false,false,false
spatialvla-pt-base,no,IPEC-COMMUNITY/spatialvla-4b-224-pt,SpatialVLA,42.7,SpatialVLA,false,false,false
rt1x-bridge,no,,RT-1-X,0.0,RT-1-X,false,true,false
octo-base-bridge,no,rail-berkeley/octo-base,Octo-Base,20.3,Octo,false,true,false
prismatic-raw,no,,Prismatic-VLM,0.0,RawVLM,false,true,false
